pageid,title,name
445362,Stine Kinck,Stine Kinck
1023999,Tobias Kippenberger,Tobias Kippenberger
188785,Morten Kjeldsen,Morten Kjeldsen
170022,Klaus Kjellerup,Klaus Kjellerup
407766,John Kjøller,John Kjøller
323231,Carsten Knudsen,Carsten Knudsen
675735,Maud Kofod,Maud Kofod
972901,Michael Kolster,Michael Kolster
1030641,Johan Kolstrup,Johan Kolstrup
252414,Benjamin Koppel,Benjamin Koppel
819937,Lars Krarup (musiker),Lars Krarup
47160,Poul Krebs,Poul Krebs
708130,Mads B.B. Krog,Mads B.B. Krog
368798,Erling Kroner,Erling Kroner
479033,Carsten Krøyer,Carsten Krøyer
972974,Søren Kaalund,Søren Kaalund
1063665,Rasmus Kærså,Rasmus Kærså
112900,Kølig Kaj,Kølig Kaj
162909,Paw Lagermann,Paw Lagermann
253980,Wilhelm Lanzky-Otto,Wilhelm Lanzky-Otto
751987,Fin Alfred Larsen,Fin Alfred Larsen
968304,Søren Launbjerg,Søren Launbjerg
166748,Kristian Leth,Kristian Leth
389591,Henrik Littauer,Henrik Littauer
238726,Lizzie (sanger),Lizzie
859891,Gustaf Ljunggren (musiker),Gustaf Ljunggren
653615,Freja Loeb,Freja Loeb
487941,Mikkel Lomborg,Mikkel Lomborg
115671,Johan Lorentz den yngre,Johan Lorentz den yngre
404310,Lucy Love,Lucy Love
41197,Tom Lundén,Tom Lundén
418487,Rosa Lux,Rosa Lux
59824,Carsten Lykke,Carsten Lykke
489442,Martin Lærke,Martin Lærke
123352,Eva Madsen,Eva Madsen
477056,Jannis Noya Makrigiannis,Jannis Noya Makrigiannis
161469,Marc B,Marc B
91860,Jomi Massage,Jomi Massage
120635,Mathilde (musiker),Mathilde
991864,Jens Ole McCoy,Jens Ole McCoy
1157826,Morten McCoy,Morten McCoy
123628,Tom McEwan,Tom McEwan
534276,Thomas Meilstrup,Thomas Meilstrup
767629,Mek Pek,Mek Pek
445315,Mette (sanger),Mette
253984,Ingbert Michelsen,Ingbert Michelsen
883566,Mikael K,Mikael K
862952,Mikas,Mikas
292504,Christine Milton,Christine Milton
1171217,ML Buch,ML Buch
491192,Bjarke Mogensen,Bjarke Mogensen
228320,Heidi Mortenson,Heidi Mortenson
294485,Karen Mukupa,Karen Mukupa
225676,Multiman,Multiman
917568,Nicolai Munch-Hansen,Nicolai Munch-Hansen
703198,MØ,MØ
397041,Rasmus Møbius,Rasmus Møbius
906912,Anders Høg Møller,Anders Høg Møller
203987,Henrik Stanley Møller,Henrik Stanley Møller
522742,Knud Møller (musiker),Knud Møller
516013,Stefan Mørk,Stefan Mørk
548571,Larry Nelson,Larry Nelson
337578,Hans Nielsen (komponist),Hans Nielsen
205533,Jan Nielsen (musiker),Jan Nielsen
656368,Per Nielsen (musiker),Per Nielsen
548979,Jesper Nohrstedt,Jesper Nohrstedt
747910,Frede Norbrink,Frede Norbrink
332689,Kristian Nordentoft,Kristian Nordentoft
462810,Frederik Nordsø,Frederik Nordsø
272436,Claus Norreen,Claus Norreen
826579,Kim Nowak-Zorde,Kim Nowak-Zorde
435440,Kasper Nyemann,Kasper Nyemann
717202,Ollie B,Ollie B
370497,Ormen (musiker),Ormen
315326,Tomas Ortved,Tomas Ortved
735243,Øyvind Ougaard,Øyvind Ougaard
1168526,Thomas Pakula,Thomas Pakula
494972,Lille Palle,Lille Palle
397406,Stefan Pasborg,Stefan Pasborg
1015361,Pedal-Ove,Pedal-Ove
389892,Jimmi Roger Pedersen,Jimmi Roger Pedersen
128326,Peder Pedersen (musiker),Peder Pedersen
826183,Dee Pee,Dee Pee
394794,PelleB,PelleB
367693,John Wulff Petersen,John Wulff Petersen
143391,Leif Sylvester Petersen,Leif Sylvester Petersen
445367,Carl Petter,Carl Petter
991473,Hans Philip,Hans Philip
786100,Kristian Pommer,Kristian Pommer
622863,Nils-Ole Poulin,Nils-Ole Poulin
52839,Óli Poulsen,Óli Poulsen
401837,Providers,Providers
1067616,Hans Henrik Præstbro,Hans Henrik Præstbro
1151007,Nikolaj Paakjær,Nikolaj Paakjær
202923,Flemming Rasmussen,Flemming Rasmussen
448273,Frans Rasmussen,Frans Rasmussen
450454,Peter Rasmussen (basunist),Peter Rasmussen
1081273,Tom Nagel Rasmussen,Tom Nagel Rasmussen
257836,Nicolaj Rasted,Nicolaj Rasted
437951,Razz,Razz
127203,Johnny Reimar,Johnny Reimar
111674,Poul Reinau,Poul Reinau
498254,Jesper Reisinger,Jesper Reisinger
251611,Remee,Remee
395821,Pete Repete,Pete Repete
485051,Jascha Richter,Jascha Richter
60115,Jakob Riis (komponist),Jakob Riis
867491,Thorbjørn Risager,Thorbjørn Risager
937262,Vibe Robin,Vibe Robin
274595,Steen Rock,Steen Rock
110505,Simon Rosenbaum,Simon Rosenbaum
940580,Jannik Rundholdt,Jannik Rundholdt
755686,Michael Rune,Michael Rune
1160141,Søren Runge,Søren Runge
489443,Sine Bach Rüttel,Sine Bach Rüttel
279805,Hanne Rømer,Hanne Rømer
796902,Lotte Rømer,Lotte Rømer
178189,Mikkel Rønnow,Mikkel Rønnow
711214,Jan Rørdam,Jan Rørdam
429042,Kim Sagild,Kim Sagild
1032307,Nicklas Sahl,Nicklas Sahl
435349,Soluna Samay,Soluna Samay
269219,Thomas Sandberg,Thomas Sandberg
894313,Finn Savery,Finn Savery
476349,Uffe Savery,Uffe Savery
671828,Steffen Schackinger,Steffen Schackinger
468372,Bo Schiøler,Bo Schiøler
281528,Peter Schneidermann,Peter Schneidermann
1114273,School of X,School of X
455617,Hans Schreiber,Hans Schreiber
489026,Kim Schwartz,Kim Schwartz
402786,Klaus Schønning,Klaus Schønning
479037,Lucas Secon,Lucas Secon
860932,Martin Seeberg,Martin Seeberg
800693,Pernille Louise Sejlund,Pernille Louise Sejlund
188358,Morten Selmer,Morten Selmer
329019,Mike Sheridan,Mike Sheridan
190620,Lucas Sieber,Lucas Sieber
1154517,Søren Siegumfeldt,Søren Siegumfeldt
148770,Mikael Simpson,Mikael Simpson
847134,Terji Skibenæs,Terji Skibenæs
1064038,Skinz,Skinz
969260,Lars Skjærbæk,Lars Skjærbæk
281747,Peter Smith,Peter Smith
323190,Viggo Sommer,Viggo Sommer
1042014,Ove Sopp,Ove Sopp
105578,Peter Spies,Peter Spies
170481,Mani Spinx,Mani Spinx
462601,Anna Stengade,Anna Stengade
86058,Torben Steno,Torben Steno
402885,Birk Storm,Birk Storm
1125651,Jonas Struck,Jonas Struck
178941,Henning Stærk,Henning Stærk
445361,Stærosaurus,Stærosaurus
288196,John Sund,John Sund
1111173,Kate Svanholm,Kate Svanholm
379486,Bjørn Svin,Bjørn Svin
152986,Søren Søndergaard (radiovært),Søren Søndergaard
528459,Finn Sørensen,Finn Sørensen
858401,Kirstine Stubbe Teglbjærg,Kirstine Stubbe Teglbjærg
887087,Jan Tellefsen,Jan Tellefsen
351150,René Munk Thalund,René Munk Thalund
487904,The Setting Son,The Setting Son
292414,Carl August Thielo,Carl August Thielo
402657,Thorstein Thomsen,Thorstein Thomsen
330376,Jørgen Thorup,Jørgen Thorup
390200,Frederik Thaae,Frederik Thaae
430740,Jon Brændsgaard Toft,Jon Brændsgaard Toft
846774,Danni Toma,Danni Toma
513162,Nils Torp,Nils Torp
242076,Johannes Torpe,Johannes Torpe
228757,Kasper Toustrup,Kasper Toustrup
125267,Track72,Track72
141808,Trentemøller,Trentemøller
408009,Cæcilie Trier,Cæcilie Trier
143426,Troels Trier (musiker),Troels Trier
435417,UFO (musiker),UFO
659107,Mikkel Schrøder Uldal,Mikkel Schrøder Uldal
188799,Stan Urban,Stan Urban
699639,H.C. Vartenberg,H.C. Vartenberg
348007,Allan Vegenfeldt,Allan Vegenfeldt
254858,Finn Viderø,Finn Viderø
906759,Gæst Vincent,Gæst Vincent
558936,Kim Wagner,Kim Wagner
262337,Fritz Wehner,Fritz Wehner
1033977,Kjeld Wennick,Kjeld Wennick
331245,Ole Wennike,Ole Wennike
341530,Torben Westergaard,Torben Westergaard
1167546,Anton Westerlin,Anton Westerlin
417302,Vinnie Who,Vinnie Who
292217,Thomas Wilfred,Thomas Wilfred
975575,Tobias Wilner,Tobias Wilner
345639,Per Wium,Per Wium
253102,Waldemar Wolsing,Waldemar Wolsing
1003678,Lorenzo Woodrose,Lorenzo Woodrose
479047,Xander (sanger),Xander
710521,Yepha,Yepha
499573,Franz De Zaster,Franz De Zaster
442216,Aske Zidore,Aske Zidore
418707,Annemarie Zimakoff,Annemarie Zimakoff
203624,H.O.C. Zinck,H.O.C. Zinck
450809,Frank Ziyanak,Frank Ziyanak
903372,Tonny Aabo,Tonny Aabo
1068326,"Lasse Aagaard (komponist, født 1986)",Lasse Aagaard
552862,A'typisk,A'typisk
728875,Abbaz,Abbaz
1067244,Chadi Abdul-Karim,Chadi Abdul-Karim
85905,Al Agami,Al Agami
372052,Negash Ali,Negash Ali
417506,AndyOp,AndyOp
531928,Ankerstjerne (rapper),Ankerstjerne
1018855,Artigeardit,Artigeardit
116296,Ataf,Ataf
138840,Bai-D,Bai-D
145499,Baya,Baya
701255,David Bertelsen,David Bertelsen
648429,Toke Lars Bjarke,Toke Lars Bjarke
656861,Bossy Bo,Bossy Bo
1051126,Branco (rapper),Branco
100314,Tommy Bredsted,Tommy Bredsted
968733,Noah Carter,Noah Carter
306687,Cas (rapper),Cas
647695,Cha D,Cha D
1055720,Chapper,Chapper
88805,Thomas TC Christensen,Thomas TC Christensen
107552,Clemens (rapper),Clemens
408083,Eagger,Eagger
260448,Mass Ebdrup,Mass Ebdrup
718957,Eloq,Eloq
159988,Einar Enemark,Einar Enemark
992967,Joachim Englando,Joachim Englando
396930,Fabeldyret (sanger),Fabeldyret
230706,Fantomet (rapper),Fantomet
1046000,Filuka,Filuka
1095791,FVN,FVN
146631,Geolo Geo,Geolo Geo
184086,Niels Henrik Gerts,Niels Henrik Gerts
781742,Gilli,Gilli
396074,Gisli,Gisli
1139373,Gobs,Gobs
950900,Jazzy H,Jazzy H
1128552,Benjamin Hav,Benjamin Hav
940887,Intensiv MC,Intensiv MC
1023498,Isbjerg (rapper),Isbjerg
646467,Benny Jamz,Benny Jamz
760804,Jo-C-Fine,Jo-C-Fine
105763,Johnson (rapper),Johnson
109744,Jokeren (rapper),Jokeren
368541,Jooks,Jooks
189931,Jøden,Jøden
119333,Ali Kazim,Ali Kazim
536505,Kesi,Kesi
535760,Kidd,Kidd
959917,Zaman Kilic,Zaman Kilic
653607,Klumben,Klumben
165517,Danny Kool,Danny Kool
79070,L.O.C.,L.O.C.
6382,L:Ron:Harald,L:Ron:Harald
1125144,Lamin,Lamin
450986,LasG,LasG
237814,Lasse Lindholm Nielsen,Lasse Lindholm Nielsen
748850,Linkoban,Linkoban
902752,Lord Siva,Lord Siva
644471,Shaka Loveless,Shaka Loveless
467370,Magermayn,Magermayn
107073,Majid,Majid
186565,Marwan,Marwan
54521,Anders Matthesen,Anders Matthesen
397002,MC Meller,MC Meller
403027,Mikl,Mikl
782105,Stanley Most,Stanley Most
428941,Mund De Carlo,Mund De Carlo
377990,Mikkel Mund,Mikkel Mund
249355,Kenneth Møller,Kenneth Møller
190450,Natasja,Natasja
42357,Niarn,Niarn
193802,Niklas,Niklas
974469,Nikoline (rapper),Nikoline
942260,Nixen,Nixen
943317,Node (sanger),Node
207806,O-Jay,O-Jay
1138887,Olivver,Olivver
357538,Ole Omkvæd,Ole Omkvæd
93166,Orgi-E,Orgi-E
1010104,Pattesutter,Pattesutter
435357,Peacefull James,Peacefull James
309488,Pede B,Pede B
1014133,Kent Pedersen,Kent Pedersen
317964,Nikolaj Peyk,Nikolaj Peyk
394660,Kalle Pimp,Kalle Pimp
274823,Pimp-A-Lot,Pimp-A-Lot
1046135,Pind,Pind
926198,Henni Purk,Henni Purk
217669,Jeppe Rapp,Jeppe Rapp
640135,Raske Penge,Raske Penge
251611,Remee,Remee
1156211,Sanganee,Sanganee
756221,Sivas (musiker),Sivas
904416,Sleiman,Sleiman
1164610,Spasmager,Spasmager
848589,Emil Stabil,Emil Stabil
1033237,Stepz,Stepz
189936,Strøm (rapper),Strøm
236283,Styggtann,Styggtann
701789,Sukker Lyn,Sukker Lyn
325718,Supajan,Supajan
734684,Supardejen,Supardejen
1019145,Tessa (rapper),Tessa
846774,Danni Toma,Danni Toma
701648,TopGunn,TopGunn
86951,Troo.L.S,Troo.L.S
178503,Joe True,Joe True
116315,USO (rapper),USO
1172230,Babak Vakili,Babak Vakili
926164,Nick Vanelli,Nick Vanelli
108086,Per Vers,Per Vers
471048,Anna Vigsø,Anna Vigsø
925730,Ham VolKan,Ham VolKan
684543,Henning Winther,Henning Winther
1043454,Wood,Wood
710521,Yepha,Yepha
221152,Zaki,Zaki
512944,Zjakalen,Zjakalen
183617,Bo Thrige Andersen,Bo Thrige Andersen
1078087,Søren Andersen (musiker),Søren Andersen
144298,Franz Beckerlee,Franz Beckerlee
681675,Jacob Bellens,Jacob Bellens
116271,Peter Belli,Peter Belli
144303,Søren Berlev,Søren Berlev
240490,Thomas Blachman,Thomas Blachman
226776,Anders Blichfeldt,Anders Blichfeldt
107388,Hanne Boel,Hanne Boel
1122463,Nils Brakchi,Nils Brakchi
271512,Sanne Brüel,Sanne Brüel
110377,Michael Bundesen,Michael Bundesen
974956,Claus Bøhling,Claus Bøhling
419216,Henning Pold Christensen,Henning Pold Christensen
43910,Tim Christensen,Tim Christensen
217656,Johnny Concrete,Johnny Concrete
477643,Billy Cross,Billy Cross
33453,Povl Dissing,Povl Dissing
668189,Christine Dueholm,Christine Dueholm
292651,René Evald,René Evald
58806,Michael Falch,Michael Falch
241882,Sharin Foo,Sharin Foo
139483,Per Chr. Frost,Per Chr. Frost
170748,Thomas Grue,Thomas Grue
71612,Ken Gudman,Ken Gudman
91835,Lars H.U.G.,Lars H.U.G.
731868,Morten Hellborn,Morten Hellborn
168070,Thomas Helmig,Thomas Helmig
150529,Lasse Helner,Lasse Helner
897153,Kim J. Henriksen,Kim J. Henriksen
342705,Bent Hesselmann,Bent Hesselmann
41374,Benny Holst,Benny Holst
235556,Søren Huss,Søren Huss
204769,Ivan Haki Haagensen,Ivan Haki Haagensen
139481,Peter Ingemann (musiker),Peter Ingemann
71598,Aske Jacoby,Aske Jacoby
947094,Allan Jensen,Allan Jensen
34073,Nanna Lüders Jensen,Nanna Lüders Jensen
304290,Peter Lundholm Jensen,Peter Lundholm Jensen
145556,Peer Frost Johansson,Peer Frost Johansson
399323,Joshua (musikproducer),Joshua
738167,Danny Jungslund,Danny Jungslund
139401,Wili Jønsson,Wili Jønsson
54063,C.V. Jørgensen,C.V. Jørgensen
13227,Flemming Bamse Jørgensen,Flemming Bamse Jørgensen
55595,Lone Kellermann,Lone Kellermann
857013,Kim Larsen & Jungle Dreams,Kim Larsen & Jungle Dreams
972901,Michael Kolster,Michael Kolster
304191,Mattias Kolstrup,Mattias Kolstrup
134605,Anders Koppel,Anders Koppel
93158,Annisette Koppel,Annisette Koppel
96276,Thomas Koppel,Thomas Koppel
697052,Stig Kreutzfeldt,Stig Kreutzfeldt
1000998,Morten Langebæk,Morten Langebæk
31493,Kim Larsen,Kim Larsen
90669,Peter Laugesen,Peter Laugesen
224647,Holger Laumann,Holger Laumann
86752,Hans Erik Lerchenfeld,Hans Erik Lerchenfeld
15212,Anne Linnet,Anne Linnet
419223,Jan Lysdahl,Jan Lysdahl
120943,Alex Nyborg Madsen,Alex Nyborg Madsen
112641,Johnny Madsen,Johnny Madsen
191742,Johnny Thingsager Madsen,Johnny Thingsager Madsen
1096254,Rasmus Madsen,Rasmus Madsen
729685,Henrik Marstal,Henrik Marstal
272426,Peter Mellin,Peter Mellin
143639,Kim Menzer,Kim Menzer
48870,John Mogensen,John Mogensen
999097,Peter Molzen,Peter Molzen
174152,Monique,Monique
230235,Lars Muhl,Lars Muhl
140551,Stig Møller,Stig Møller
975535,Cy Nicklin,Cy Nicklin
119760,Elisabeth Gjerluff Nielsen,Elisabeth Gjerluff Nielsen
419203,Jens G. Nielsen,Jens G. Nielsen
81047,Peter A.G. Nielsen,Peter A.G. Nielsen
92895,Nikolaj Nørlund,Nikolaj Nørlund
72884,Knud Odde,Knud Odde
201104,Finn Olafsson,Finn Olafsson
86755,Georg Olesen,Georg Olesen
212529,Thøger Olesen,Thøger Olesen
28880,Allan Olsen (sanger),Allan Olsen
1141946,Flemming Olsen,Flemming Olsen
455586,Lee Oskar,Lee Oskar
202068,Tommy Petersen,Tommy Petersen
225515,James Rasmussen,James Rasmussen
99094,Søren Rasted,Søren Rasted
271414,John Ravn,John Ravn
141343,Leif Roden,Leif Roden
98831,Pernille Rosendahl,Pernille Rosendahl
823959,Jens Rugsted,Jens Rugsted
1134703,Vincent Ryder,Vincent Ryder
107155,Sanne Salomonsen,Sanne Salomonsen
80576,Sebastian (musiker),Sebastian
12391,Tommy Seebach,Tommy Seebach
323596,Jan Sivertsen (musiker),Jan Sivertsen
28464,Eik Skaløe,Eik Skaløe
138308,Niels Skousen,Niels Skousen
105475,Kira Skov,Kira Skov
225632,Anne Vig Skoven,Anne Vig Skoven
888444,Carsten Smedegaard,Carsten Smedegaard
888818,Gert Smedegaard,Gert Smedegaard
204898,Laust Sonne,Laust Sonne
151726,Henrik Strube,Henrik Strube
142219,Jess Stæhr,Jess Stæhr
178941,Henning Stærk,Henning Stærk
53522,Lis Sørensen,Lis Sørensen
732917,Ole Bjørn Sørensen,Ole Bjørn Sørensen
777890,Robin C Taylor,Robin C Taylor
139739,Peter Thorup,Peter Thorup
168394,Klaus Thrane,Klaus Thrane
224652,Lars Top-Galia,Lars Top-Galia
107104,Tobias Trier,Tobias Trier
975952,Nils Tuxen,Nils Tuxen
141736,Tømrerclaus,Tømrerclaus
35436,Bjørn Uglebjerg,Bjørn Uglebjerg
59339,Preben Uglebjerg,Preben Uglebjerg
50128,Lars Ulrich,Lars Ulrich
62194,Jens Unmack,Jens Unmack
736287,Mika Vandborg,Mika Vandborg
123016,Peter Viskinde,Peter Viskinde
747562,Johnny Voss,Johnny Voss
218279,Sune Wagner,Sune Wagner
427512,Lise Westzynthius,Lise Westzynthius
108641,Alberte Winding,Alberte Winding
116156,Kasper Winding,Kasper Winding
477943,Arne Würgler,Arne Würgler
425222,Søren Zahle Schou,Søren Zahle Schou
887687,Paul Banks,Paul Banks
295013,Big Mama,Big Mama
938633,Ronni Boysen,Ronni Boysen
178662,Christianshavns Bluesband,Christianshavns Bluesband
292651,René Evald,René Evald
904269,Ole Frimer,Ole Frimer
106019,Jes Holtsø,Jes Holtsø
434410,Jens Jefsen,Jens Jefsen
888594,Troels Jensen,Troels Jensen
546709,H.P. Lange,H.P. Lange
1002530,Kenn Lending,Kenn Lending
149310,Uffe Steen,Uffe Steen
178941,Henning Stærk,Henning Stærk
139739,Peter Thorup,Peter Thorup
767679,Annette Bjergfeldt,Annette Bjergfeldt
396299,Helene Blum,Helene Blum
415603,Ester Brohus,Ester Brohus
1009368,Kristian Bugge,Kristian Bugge
1042967,Ivan Damgård,Ivan Damgård
200645,Per Dich,Per Dich
33453,Povl Dissing,Povl Dissing
647633,Tom Donovan,Tom Donovan
668189,Christine Dueholm,Christine Dueholm
965804,Søren Hammerlund,Søren Hammerlund
487495,Harald Haugaard,Harald Haugaard
94850,Niels Hausgaard,Niels Hausgaard
150529,Lasse Helner,Lasse Helner
801422,Jullie Hjetland,Jullie Hjetland
412939,Martin Høybye,Martin Høybye
1016018,Mette Kathrine Jensen Stærk,Mette Kathrine Jensen Stærk
270972,Andrew John,Andrew John
1046979,Mads Kjøller Henningsen,Mads Kjøller Henningsen
53521,Lars Lilholt,Lars Lilholt
908980,Jacob Lund (musiker),Jacob Lund
129198,Rasmus Lyberth,Rasmus Lyberth
557962,CS Nielsen,CS Nielsen
212529,Thøger Olesen,Thøger Olesen
28880,Allan Olsen (sanger),Allan Olsen
860932,Martin Seeberg,Martin Seeberg
905977,Peter Uhrbrand,Peter Uhrbrand
421198,Jakob Batten,Jakob Batten
243405,Jacob Bredahl,Jacob Bredahl
924814,Michael Denner,Michael Denner
854063,Jacob Hansen,Jacob Hansen
978671,Timi Hansen,Timi Hansen
56303,King Diamond,King Diamond
372641,Jon Larsen,Jon Larsen
877435,Kaspar Boye Larsen,Kaspar Boye Larsen
1032429,Ole Luk,Ole Luk
964303,Monika Pedersen,Monika Pedersen
827784,Hank Shermann,Hank Shermann
50128,Lars Ulrich,Lars Ulrich
116296,Ataf,Ataf
115145,B.A.N.G.E.R.S.,B.A.N.G.E.R.S.
101426,Isam Bachiri,Isam Bachiri
138840,Bai-D,Bai-D
145499,Baya,Baya
370944,Dj Beatnik,Dj Beatnik
100314,Tommy Bredsted,Tommy Bredsted
396930,Fabeldyret (sanger),Fabeldyret
184086,Niels Henrik Gerts,Niels Henrik Gerts
95165,Jonny Hefty,Jonny Hefty
105763,Johnson (rapper),Johnson
109744,Jokeren (rapper),Jokeren
189931,Jøden,Jøden
119333,Ali Kazim,Ali Kazim
196024,Kejser A,Kejser A
79070,L.O.C.,L.O.C.
6382,L:Ron:Harald,L:Ron:Harald
237814,Lasse Lindholm Nielsen,Lasse Lindholm Nielsen
107073,Majid,Majid
146300,Lenny Martinez,Lenny Martinez
186565,Marwan,Marwan
397002,MC Meller,MC Meller
249355,Kenneth Møller,Kenneth Møller
42357,Niarn,Niarn
93166,Orgi-E,Orgi-E
217669,Jeppe Rapp,Jeppe Rapp
88336,Rune Rask,Rune Rask
372956,Thorbjørn Bech-Rossen,Thorbjørn Bech-Rossen
397407,Pato Siebenhaar,Pato Siebenhaar
159406,Kasper Spez,Kasper Spez
189936,Strøm (rapper),Strøm
734684,Supardejen,Supardejen
178503,Joe True,Joe True
435417,UFO (musiker),UFO
116315,USO (rapper),USO
108086,Per Vers,Per Vers
925730,Ham VolKan,Ham VolKan
684543,Henning Winther,Henning Winther
221152,Zaki,Zaki
60128,Lotte Anker,Lotte Anker
40379,Svend Asmussen,Svend Asmussen
119984,Frans Bak,Frans Bak
976789,Søren Bebe,Søren Bebe
144298,Franz Beckerlee,Franz Beckerlee
472162,Ben Besiakov,Ben Besiakov
240490,Thomas Blachman,Thomas Blachman
433953,Henrik Blichmann,Henrik Blichmann
1057343,Allan Botschinsky,Allan Botschinsky
83265,Verner Bramsen,Verner Bramsen
169208,Per Aage Brandt,Per Aage Brandt
442876,Jakob Bro,Jakob Bro
144258,Max Brüel,Max Brüel
1042129,Papa Bue,Papa Bue
763720,Christina von Bülow,Christina von Bülow
83268,Jesper Carlsen (bassist),Jesper Carlsen
201662,Bernhard Christensen,Bernhard Christensen
288511,Jacob Christoffersen,Jacob Christoffersen
707915,Carsten Dahl,Carsten Dahl
73176,Ole Dixon,Ole Dixon
192508,Chris Minh Doky,Chris Minh Doky
118195,Niels Lan Doky,Niels Lan Doky
412575,Dennis Drud,Dennis Drud
668189,Christine Dueholm,Christine Dueholm
1025020,Jesper Dupont,Jesper Dupont
144265,Pierre Dørge,Pierre Dørge
406546,Sinne Eeg,Sinne Eeg
1090582,Willy Egmose,Willy Egmose
73008,Steen Engelholt,Steen Engelholt
526786,Atilla Engin,Atilla Engin
454656,Kai Ewans,Kai Ewans
334154,Jacob Fischer,Jacob Fischer
1006271,Thomas Fonnesbæk,Thomas Fonnesbæk
350156,Niels Foss (kapelmester),Niels Foss
178143,Fuzzy,Fuzzy
974524,GinmanBlachmanDahl,GinmanBlachmanDahl
823763,Jens Jørn Gjedsted,Jens Jørn Gjedsted
83452,Ib Glindemann,Ib Glindemann
518526,Poul Godske,Poul Godske
149914,Bo Gryholt,Bo Gryholt
455615,Henry Hagemann,Henry Hagemann
1038358,Aage Hagen,Aage Hagen
190964,Ole Kock Hansen,Ole Kock Hansen
196684,Hemming Hartmann-Petersen,Hemming Hartmann-Petersen
1108858,Mathias Heise,Mathias Heise
393582,Emil Hess,Emil Hess
974138,Mikkel Hess,Mikkel Hess
980823,Ernst Hornslet,Ernst Hornslet
936319,Susi Hyldgaard,Susi Hyldgaard
54833,Jørgen Ingmann,Jørgen Ingmann
434410,Jens Jefsen,Jens Jefsen
622912,André Jensen,André Jensen
409028,Simon Jensen,Simon Jensen
1160093,Theis Jensen,Theis Jensen
905316,Mette Juul,Mette Juul
472226,Bent Jædig,Bent Jædig
278193,Elith Nykjær Jørgensen,Elith Nykjær Jørgensen
827375,Kristian Jørgensen,Kristian Jørgensen
983189,Jens Klüver,Jens Klüver
144252,Kenneth Knudsen (musiker),Kenneth Knudsen
1024305,Kenneth Dahl Knudsen,Kenneth Dahl Knudsen
368798,Erling Kroner,Erling Kroner
154628,Ole Kühl,Ole Kühl
274215,Preben Larsen,Preben Larsen
3586,Bjarne Liller,Bjarne Liller
396642,Ole Lindgreen,Ole Lindgreen
537829,Otto Lington,Otto Lington
205043,Arne Lundén,Arne Lundén
885700,Jesper Lundgaard (bassist),Jesper Lundgaard
396662,Fredrik Lundin,Fredrik Lundin
105635,Katrine Madsen,Katrine Madsen
247586,Leo Mathisen,Leo Mathisen
119991,Marilyn Mazur,Marilyn Mazur
143639,Kim Menzer,Kim Menzer
207858,Arnvid Meyer,Arnvid Meyer
55098,Palle Mikkelborg,Palle Mikkelborg
256331,Erik Moseholm,Erik Moseholm
48602,Lars Møller (jazzmusiker),Lars Møller
95554,Jørgen Nielsen (bassist),Jørgen Nielsen
39913,Finn Odderskov,Finn Odderskov
101301,Jørn Okbo,Jørn Okbo
455621,Winstrup Olesen,Winstrup Olesen
1059347,Poul Olsen,Poul Olsen
111235,Kresten Osgood,Kresten Osgood
455223,Erik Parker,Erik Parker
40523,Niels-Henning Ørsted Pedersen,Niels-Henning Ørsted Pedersen
669934,Ray Pitts,Ray Pitts
200820,Freddy Poulsen,Freddy Poulsen
467614,Morten Ramsbøl,Morten Ramsbøl
437699,Hugo Rasmussen,Hugo Rasmussen
450454,Peter Rasmussen (basunist),Peter Rasmussen
81161,Alex Riel,Alex Riel
227086,Børge Roger Henrichsen,Børge Roger Henrichsen
714465,Peter Rosendal,Peter Rosendal
321514,Bjarne Rostvold,Bjarne Rostvold
451914,Ingelise Rune,Ingelise Rune
59061,Jørgen Ryg,Jørgen Ryg
83504,Mik Schack,Mik Schack
1154517,Søren Siegumfeldt,Søren Siegumfeldt
453247,Jens Skou Olsen,Jens Skou Olsen
204898,Laust Sonne,Laust Sonne
106178,Niels Jørgen Steen,Niels Jørgen Steen
149310,Uffe Steen,Uffe Steen
143671,Hugh Steinmetz,Hugh Steinmetz
904934,Sidsel Storm,Sidsel Storm
1041944,Jørgen Christian Svare,Jørgen Christian Svare
417179,Jens Christian Søndergård,Jens Christian Søndergård
971386,Jakob Sørensen,Jakob Sørensen
692785,Jens Balder Sørensen,Jens Balder Sørensen
777890,Robin C Taylor,Robin C Taylor
143665,John Tchicai,John Tchicai
116252,Ed Thigpen,Ed Thigpen
487877,Jesper Thilo,Jesper Thilo
17054,Hans Ulrik,Hans Ulrik
363702,Mads Vinding,Mads Vinding
114807,Peter Vuust,Peter Vuust
1002262,Oilly Wallace,Oilly Wallace
1046141,Johannes Wamberg,Johannes Wamberg
753716,Carl Winther,Carl Winther
490043,Jens Winther (musiker),Jens Winther
86190,Finn Ziegler,Finn Ziegler
964345,Pernille Bévort,Pernille Bévort
433953,Henrik Blichmann,Henrik Blichmann
201662,Bernhard Christensen,Bernhard Christensen
214521,Jørgen Emborg,Jørgen Emborg
393582,Emil Hess,Emil Hess
974138,Mikkel Hess,Mikkel Hess
393579,Nikolaj Hess,Nikolaj Hess
355559,Jan Kaspersen,Jan Kaspersen
227086,Børge Roger Henrichsen,Børge Roger Henrichsen
119984,Frans Bak,Frans Bak
566100,Adrian Bentzon,Adrian Bentzon
1042145,Atli Bjørn,Atli Bjørn
144258,Max Brüel,Max Brüel
