title,textlist
Kansas City Stompers,"['kansas', 'city', 'stompers', 'er', 'et', 'dansk', 'jazzband', 'dannet', 'i', 'af', 'kapelmester', 'niels', 'abild', 'der', 'fortsat', 'leder', 'kansas', 'city', 'stompers', 'gruppen', 'er', 'danmarks', 'ældste', 'professionelle', 'jazzband', 'og', 'har', 'indspillet', 'over', 'albummer', 'gruppen', 'har', 'optrådt', 'i', 'det', 'meste', 'af', 'europa', 'og', 'har', 'samarbejdet', 'med', 'kunstnere', 'som', 'sanne', 'salomonsen', 'gitte', 'hænning', 'birgit', 'lystager', 'daimi', 'otto', 'brandenburg', 'og', 'lillbabs', 'gennem', 'alle', 'årene', 'har', 'orkestret', 'medlemmer', 'talt', 'en', 'lang', 'række', 'kendte', 'danske', 'musikere', 'og', 'solister', 'og', 'har', 'indspillet', 'plader', 'siden', 'i', 'udkom', 'den', 'seneste', 'cd', 'live', 'concerts']"
Keld & Hilda,"['keld', 'amp', 'hilda', 'er', 'en', 'dansktopduo', 'bestående', 'af', 'ægteparret', 'keld', 'og', 'hilda', 'heick', 'efter', 'en', 'årrække', 'sammen', 'med', 'keld', 'amp', 'the', 'donkeys', 'valgte', 'keld', 'heick', 'i', 'at', 'forene', 'sin', 'musikalske', 'karriere', 'med', 'sit', 'familieliv', 'og', 'starte', 'et', 'musikalsk', 'samarbejde', 'op', 'med', 'hilda', 'igennem', 'årene', 'har', 'keld', 'amp', 'hilda', 'indspillet', 'en', 'lang', 'række', 'plader', 'optrådt', 'til', 'adskillige', 'arrangementer', 'og', 'medvirket', 'i', 'dansk', 'melodi', 'grand', 'prix', 'i', 'flere', 'omgange', 'parret', 'annoncerede', 'at', 'de', 'ville', 'indstille', 'karrieren', 'i', 'efteråret']"
Keld & The Donkeys,"['keld', 'amp', 'the', 'donkeys', 'var', 'en', 'dansktopgruppe', 'fra', 'danmark', 'der', 'under', 'ledelse', 'af', 'keld', 'heick', 'eksisterede', 'i', 'perioden', 'og', 'sporadisk', 'har', 'været', 'gendannet', 'ved', 'forskellige', 'lejligheder', 'siden']"
Kenton Slash Demon,"['kenton', 'slash', 'demon', 'er', 'en', 'københavnsk', 'techno', 'duo', 'fra', 'danmark', 'bestående', 'af', 'jonas', 'kenton', 'synth', 'vokal', 'og', 'silas', 'moldenhawer', 'trommer', 'begge', 'er', 'medlem', 'af', 'when', 'saints', 'go', 'machine']"
Kill Screen Music,"['kill', 'screen', 'music', 'er', 'et', 'dansk', 'rockband', 'bestående', 'af', 'johan', 'von', 'bogenberg', 'stahl', 'torleik', 'mortensen', 'og', 'anton', 'eger', 'bandet', 'blev', 'dannet', 'i', 'november', 'i', 'udgav', 'kill', 'screen', 'music', 'singlerne', 'traffic', 'og', 'the', 'sand', 'is', 'washing', 'us', 'away', 'samme', 'år', 'udkom', 'debutalbummet', 'us', 'the', 'twoheaded', 'horse', 'som', 'fik', 'fem', 'stjerner', 'af', 'det', 'danske', 'musikmagasin', 'gaffa']"
Kim Larsen & Bellami,"['kim', 'larsen', 'amp', 'bellami', 'var', 'kim', 'larsens', 'band', 'mellem', 'og', 'bandet', 'udgav', 'fire', 'albums', 'det', 'blev', 'gendannet', 'i', 'efter', 'års', 'pause', 'i', 'perioden', 'til', 'udgav', 'bandet', 'albums', 'der', 'tilsammen', 'har', 'solgt', 'over', 'millioner', 'eksemplarer', 'bellami', 'blev', 'dannet', 'i', 'forbindelse', 'med', 'kim', 'i', 'cirkus', 'udgivelsen', 'det', 'første', 'album', 'hvor', 'bandnavnet', 'blev', 'nævnt', 'var', 'forklædt', 'som', 'voksen', 'forklædt', 'som', 'voksen', 'danske', 'salgstal', 'er', 'kun', 'overgået', 'af', 'larsens', 'midt', 'om', 'natten', 'bellami', 'var', 'i', 'perioden', 'til', 'danmarks', 'mest', 'turnerende', 'band', 'hvor', 'danmark', 'sverige', 'norge', 'og', 'grønland', 'blandt', 'andet', 'blev', 'besøgt', 'fra', 'bestod', 'bellami', 'af', 'hans', 'fagt', 'ørva', 'jon', 'pold', 'og', 'martin', 'finding', 'henning', 'pold', 'spillede', 'med', 'på', 'flere', 'koncerter', 'som', 'special', 'guest']"
Kim Larsen & Bell*Star,"['bellstar', 'var', 'kim', 'larsens', 'band', 'mellem', 'og', 'det', 'bestod', 'af', 'ham', 'selv', 'og', 'hans', 'langvarige', 'samarbejdspartnere', 'henning', 'pold', 'og', 'hans', 'fagt', 'fra', 'bellami', 'samt', 'nytilkomne', 'mikkel', 'ørva', 'håkkonsson', 'på', 'keyboard', 'da', 'bandet', 'blev', 'opløst', 'i', 'flyttede', 'kim', 'larsen', 'over', 'til', 'kim', 'larsen', 'amp', 'kjukken']"
Klyderne,"['klyderne', 'var', 'en', 'musikalsk', 'trio', 'der', 'bestod', 'af', 'jesper', 'klein', 'jess', 'ingerslev', 'og', 'tom', 'mcewan', 'lejlighedsvis', 'blev', 'trioen', 'suppleret', 'af', 'lykke', 'nielsen', 'selvom', 'hun', 'ikke', 'var', 'officielt', 'medlem']"
L.I.G.A,"['liga', 'er', 'en', 'dansk', 'urban', 'popduo', 'oprindeligt', 'dannet', 'som', 'trio', 'i', 'af', 'nicky', 'russell', 'feras', 'agwa', 'og', 'ihan', 'haydar']"
Larsen and Furious Jane,"['larsen', 'amp', 'furious', 'jane', 'er', 'et', 'dansk', 'band', 'fra', 'århus', 'i', 'udgav', 'de', 'deres', 'fjerde', 'album', 'med', 'navnet', 'dolly']"
Lex & Klatten,"['lex', 'amp', 'klatten', 'var', 'en', 'dansk', 'komediegruppe', 'der', 'bestod', 'af', 'skuespillerne', 'hella', 'joof', 'paprika', 'steen', 'martin', 'brygmann', 'og', 'peter', 'frdin', 'gruppen', 'havde', 'optrådt', 'sammen', 'siden', 'under', 'navnet', 'guds', 'blinde', 'øje', 'lex', 'amp', 'klatten', 'udgav', 'i', 'oktober', 'et', 'album', 'af', 'samme', 'navn', 'der', 'fik', 'prisen', 'som', 'årets', 'danske', 'entertainment', 'udgivelse', 'ved', 'dansk', 'grammy', 'albummet', 'modtog', 'guld', 'for', 'solgte', 'eksemplarer', 'de', 'fire', 'stod', 'selv', 'for', 'både', 'id', 'musik', 'og', 'tekst', 'til', 'et', 'ugentligt', 'tvshow', 'på', 'tv', 'i', 'der', 'udover', 'sketches', 'og', 'en', 'sorthvid', 'føljeton', 'bestod', 'af', 'musikvideoer', 'musikken', 'var', 'skrevet', 'af', 'martin', 'brygmann', 'og', 'produceret', 'af', 'bla', 'nikolaj', 'steen', 'stig', 'kreutzfeldt', 'og', 'jonas', 'krag', 'mange', 'af', 'sangene', 'blev', 'udgivet', 'af', 'medley', 'records', 'og', 'blev', 'store', 'hits', 'bla', 'for', 'kendt', 'og', 'rørvig', 'programmet', 'bestod', 'oprindeligt', 'af', 'seks', 'afsnit', 'og', 'havde', 'premiere', 'den', 'november', 'martin', 'brygmann', 'peter', 'frdin', 'og', 'hella', 'joof', 'lavede', 'efterfølgende', 'et', 'satireprogram', 'under', 'navnet', 'det', 'brune', 'punktum', 'om', 'søndagen', 'på', 'p', 'der', 'havde', 'premiere', 'den', 'februar', 'programmerne', 'fra', 'lex', 'amp', 'klatten', 'udkom', 'på', 'vhs', 'i', 'og', 'på', 'dvd', 'i', 'i', 'udkom', 'alle', 'ni', 'afsnit', 'for', 'første', 'gang', 'på', 'dobbeltdvd']"
Licious people,"['licious', 'people', 'er', 'en', 'popgruppe', 'bestående', 'af', 'marcel', 'mark', 'gbekle', 'der', 'er', 'kendt', 'fra', 'sin', 'medvirken', 'i', 'tvprogrammet', 'xfactor', 'og', 'som', 'medlem', 'af', 'gruppen', 'alien', 'beat', 'club', 'abc', 'og', 'rapperen', 'tobias', 'askevig', 'pedersen', 'bedre', 'kendt', 'som', 'toby', 'musikken', 'er', 'mest', 'pop', 'men', 'er', 'også', 'meget', 'inspireret', 'af', 'rampb', 'og', 'hiphop', 'marcel', 'har', 'mange', 'års', 'erfaring', 'indenfor', 'musik', 'han', 'har', 'deltaget', 'i', 'mange', 'korprojekter', 'både', 'marcel', 'og', 'toby', 'kommer', 'fra', 'provinsbyen', 'stenlille', 'der', 'ligger', 'i', 'nærheden', 'af', 'sorø', 'liciouspeople', 'arbejder', 'sammen', 'med', 'producer', 'teamet', 'zachoampfriends']"
The Loft,"['the', 'loft', 'var', 'en', 'dansk', 'musik', 'og', 'samplinggruppe', 'der', 'blev', 'dannet', 'i', 'medlemmerne', 'jakob', 'weise', 'hellum', 'og', 'martin', 'bøge', 'pedersen', 'mødtes', 'på', 'en', 'musikskole', 'og', 'efter', 'et', 'års', 'tid', 'begyndte', 'de', 'at', 'samarbejde', 'med', 'henrik', 'lund', 'der', 'tidligere', 'ejede', 'easy', 'sound', 'recording', 'studio', 'i', 'københavn', 'gruppen', 'har', 'produceret', 'tre', 'af', 'sangene', 'på', 'soundtracket', 'til', 'filmen', 'den', 'eneste', 'ene', 'i', 'men', 'kendes', 'muligvis', 'bedre', 'for', 'numre', 'som', 'city', 'of', 'dreams', 'samplet', 'med', 'kim', 'larsens', 'midt', 'om', 'natten', 'og', 'kiss', 'you', 'goodbye', 'city', 'of', 'dreams', 'var', 'den', 'anden', 'mest', 'solgte', 'single', 'i', 'med', 'solgte', 'eksemplarer', 'hvilket', 'indbragt', 'gruppen', 'en', 'guldplade', 'kiss', 'you', 'goodbye', 'modtog', 'i', 'december', 'guld', 'for', 'eksemplarer', 'gruppens', 'første', 'album', 'no', 'ordinary', 'man', 'udkom', 'i', 'august', 'efterfulgt', 'af', 'little', 'pauls', 'blvd', 'i', 'no', 'ordinary', 'man', 'blev', 'certificeret', 'guld', 'for', 'solgte', 'eksemplarer', 'i', 'november', 'i', 'marts', 'dannede', 'martin', 'bøge', 'pedersen', 'elektropopduoen', 'electric', 'lady', 'lab']"
Los Valentinos,"['los', 'valentinos', 'var', 'en', 'dansk', 'gruppe', 'som', 'gjorde', 'sig', 'bemærket', 'med', 'instrumentalnumre', 'i', 'perioden', 'i', 'bandets', 'storhedstid', 'fra', 'midten', 'af', 'erne', 'til', 'starten', 'af', 'erne', 'indspillede', 'gruppen', 'albums']"
Lovebites,"['lovebites', 'er', 'en', 'indiepoprockgruppe', 'fra', 'danmark', 'der', 'eksisterede', 'fra', 'til']"
Lucie Baines,"['lucie', 'baines', 'er', 'en', 'dansk', 'jazz', 'rapgruppe', 'bestående', 'af', 'kresten', 'osgood', 'trommer', 'thomas', 'vang', 'bas', 'og', 'gsli', 'vokalrap']"
Lulu Rouge,"['lulu', 'rouge', 'er', 'en', 'duo', 'bestående', 'af', 'dj', 'tom', 'og', 'dj', 'buda', 'både', 'dj', 'tom', 'og', 'buda', 'er', 'velkendte', 'navne', 'på', 'den', 'såvel', 'danske', 'som', 'udenlandske', 'club', 'electronica', 'scene', 'lulu', 'rouge', 'udkomi', 'med', 'albummet', 'bless', 'you', 'første', 'udspil', 'var', 'titelnummeret', 'bless', 'you', 'som', 'blev', 'gæstet', 'af', 'mikael', 'simpson', 'tom', 'har', 'gennem', 'flere', 'år', 'været', 'trentemøllers', 'faste', 'sidekick', 'og', 'han', 'er', 'også', 'manden', 'bag', 'artrebels', 'rec', 'som', 'er', 'en', 'del', 'af', 'artrebels', 'netværket', 'med', 'fokus', 'på', 'design', 'kunst', 'og', 'musik', 'buda', 'er', 'dj', 'og', 'producer', 'og', 'har', 'arbejdet', 'med', 'navne', 'som', 'bliss', 'laid', 'back', 'dj', 'disse', 'ganga', 'telepopmusik', 'phil', 'mison', 'og', 'sergio', 'mendes', 'buda', 'er', 'desuden', 'del', 'af', 'chillout', 'gruppen', 'banzai', 'republic', 'lulu', 'rouge', 'har', 'senest', 'haft', 'en', 'finger', 'med', 'i', 'spillet', 'på', 'nye', 'albums', 'fra', 'både', 'fagget', 'fairys', 'camille', 'jones', 'og', 'jokeren', 'lulu', 'rouge', 'blev', 'nomineret', 'til', 'en', 'robert', 'for', 'årets', 'score', 'for', 'soundtracket', 'til', 'filmen', 'frit', 'fald']"
Lust For Youth,"['lust', 'for', 'youth', 'er', 'en', 'dansksvensk', 'elektronisk', 'musikgruppe', 'der', 'blev', 'grundlagt', 'af', 'hannes', 'norrvide', 'i', 'begyndelsen', 'af', 'erne', 'projektet', 'startede', 'som', 'et', 'soloprojekt', 'med', 'en', 'rå', 'lofi', 'æstetik', 'der', 'af', 'pitchfork', 'blev', 'beskrevet', 'som', 'scrappy', 'cold', 'wave', 'production', 'that', 'is', 'both', 'intelligent', 'and', 'infectious', 'med', 'udgivelser', 'som', 'solar', 'flare', 'og', 'growing', 'seeds', 'etablerede', 'lust', 'for', 'youth', 'sig', 'inden', 'for', 'en', 'minimalistisk', 'og', 'kølig', 'postpunk', 'lyd', 'da', 'malthe', 'fischer', 'blev', 'en', 'del', 'af', 'gruppen', 'udviklede', 'musikken', 'sig', 'i', 'en', 'mere', 'melodisk', 'retning', 'hvilket', 'kan', 'høres', 'på', 'album', 'som', 'international', 'og', 'compassion', 'lust', 'for', 'youth', 'har', 'gennem', 'årene', 'bevæget', 'sig', 'fra', 'undergrundens', 'cold', 'wave', 'til', 'et', 'mere', 'poleret', 'og', 'genremæssigt', 'bredt', 'udtryk', 'som', 'duo', 'har', 'de', 'eksperimenteret', 'med', 'nye', 'lydlandskaber', 'på', 'nyere', 'singler', 'som', 'accidental', 'win', 'og', 'blue', 'suzuki']"
Maborosi,"['maborosi', 'er', 'et', 'dansk', 'orkester', 'der', 'spiller', 'opdateret', 'er', 'og', 'er', 'inspireret', 'popmusik', 'efter', 'en', 'danmarkstourn', 'i', 'hvor', 'maborosi', 'spillede', 'support', 'for', 'saybia', 'skrev', 'bandet', 'kontrakt', 'med', 'emi', 'danmark', 'der', 'senere', 'samme', 'år', 'udgav', 'epen', 'slow', 'dance', 'i', 'begyndelsen', 'af', 'udgav', 'maborosi', 'deres', 'først', 'fuldlængde', 'album', 'no', 'time', 'wasted', 'slow', 'shark', 'records', 'der', 'blev', 'rost', 'af', 'anmelderne', 'og', 'blandt', 'andet', 'er', 'kendt', 'for', 'barometerhittet', 'not', 'like', 'the', 'tigers', 'maborosi', 'består', 'af', 'tobias', 'buchandersen', 'på', 'sangpiano', 'kasper', 'sørensen', 'på', 'guitar', 'claus', 'elnegaard', 'på', 'bas', 'og', 'jesper', 'elnegaard', 'på', 'trommer']"
Marie Key Band,"['marie', 'key', 'band', 'var', 'en', 'dansk', 'musikgruppe', 'fra', 'københavn', 'der', 'blev', 'dannet', 'i', 'af', 'marie', 'key', 'vokal', 'guitar', 'og', 'sangskriver', 'jakob', 'thorkild', 'guitar', 'marie', 'louise', 'von', 'blow', 'kontrabas', 'og', 'kor', 'og', 'mads', 'andersen', 'trommer', 'og', 'kor', 'de', 'har', 'spillet', 'masser', 'af', 'koncerter', 'på', 'københavnske', 'cafer', 'og', 'spillesteder', 'men', 'er', 'nok', 'mest', 'kendte', 'for', 'deres', 'medvirken', 'i', 'karrierekanonen', 'hvormed', 'de', 'fik', 'deres', 'kommercielle', 'debut', 'bandets', 'debutalbum', 'udtales', 'kæj', 'udkom', 'den', 'februar', 'og', 'er', 'produceret', 'af', 'tidligere', 'gangwaymedlem', 'henrik', 'balling', 'albummet', 'solgte', 'eksemplarer', 'efter', 'udgivelsen', 'af', 'gruppens', 'andet', 'album', 'hver', 'sin', 'vej', 'i', 'gik', 'marie', 'key', 'band', 'i', 'opløsning', 'forsanger', 'marie', 'key', 'forfulgte', 'efterfølgende', 'en', 'solokarriere', 'marie', 'key', 'bands', 'musik', 'læner', 'sig', 'genremæssigt', 'op', 'ad', 'den', 'moderne', 'troubadourstil', 'og', 'kan', 'sammenlignes', 'med', 'kunstnere', 'som', 'rasmus', 'nøhr', 'og', 'tobias', 'trier', 'bandet', 'kategoriserer', 'dog', 'selv', 'deres', 'musik', 'som', 'modernstylecountrycopenhagen', 'citypop', 'bandets', 'tekster', 'handler', 'om', 'de', 'små', 'og', 'store', 'ting', 'i', 'hverdagen']"
Marybell Katastrophy,"['marybell', 'katastrophy', 'er', 'en', 'musikgruppe', 'fra', 'danmark', 'dannet', 'i']"
Megalomania 999,"['megalomania', 'er', 'et', 'dansk', 'groove', 'metalband', 'dannet', 'i', 'i', 'maj', 'udgav', 'de', 'debutpladen', 'the', 'thoughtprovoking', 'theatre', 'gennem', 'det', 'svenske', 'pladeselskab', 'cutting', 'edge', 'records', 'i', 'udgav', 'de', 'andet', 'album', 'rebirth', 'og', 'gik', 'umiddelbart', 'herefter', 'i', 'opløsning']"
Mellemblond (band),"['for', 'alternative', 'betydninger', 'se', 'mellemblond', 'flertydig', 'se', 'også', 'artikler', 'som', 'begynder', 'med', 'mellemblond', 'mellemblond', 'er', 'et', 'dansksproget', 'rockband', 'centreret', 'omkring', 'sangeren', 'og', 'guitaristen', 'kristoffer', 'munck', 'mortensen', 'i', 'udgav', 'mellemblond', 'en', 'meget', 'rost', 'og', 'omtalt', 'ep', 'som', 'blandt', 'andet', 'bød', 'på', 'radiosinglen', 'ishånd', 'året', 'efter', 'udkom', 'debutalbummet', 'ude', 'af', 'mine', 'hænder', 'på', 'nikolaj', 'nørlunds', 'pladeselskab', 'auditorium', 'pladen', 'blev', 'fulgt', 'op', 'af', 'koncerter', 'landet', 'over', 'og', 'en', 'steppeulvnominering', 'i', 'kategorien', 'årets', 'håb', 'i', 'gav', 'sangskriver', 'kristoffer', 'munck', 'mortensen', 'og', 'bandet', 'igen', 'lyd', 'fra', 'sig', 'med', 'jesper', 'ravn', 'nielsens', 'musikfilm', 'mellemblond', 'på', 'bellahøj', 'der', 'havde', 'premiere', 'på', 'cphdox', 'og', 'bla', 'skildrede', 'tilblivelsen', 'af', 'epen', 'elastisk', 'fra', 'samme', 'år', 'epen', 'affødte', 'to', 'radiosingler', 'elastisk', 'og', 'mørkt', 'stof', 'og', 'bandet', 'spillede', 'på', 'spot', 'i', 'foråret', 'udgav', 'tigerspring', 'reords', 'mellemblonds', 'anden', 'plade', 'lysvågen', 'med', 'førstesinglen', 'et', 'øje', 'der', 'lå', 'seks', 'uger', 'på', 'den', 'alternative', 'hitliste', 'det', 'elektriske', 'barometer', 'lysvågen', 'fik', 'fire', 'nomineringer', 'til', 'musikprisen', 'årets', 'steppeulv', 'i', 'bla', 'årets', 'album']"
Men Among Animals,"['men', 'among', 'animals', 'er', 'en', 'eksperimenterende', 'popgruppe', 'fra', 'danmark', 'de', 'har', 'kontrakt', 'med', 'det', 'tyske', 'selskab', 'tapete', 'records', 'og', 'kendt', 'for', 'deres', 'energiske', 'live', 'shows', 'de', 'har', 'spillet', 'med', 'større', 'udenlandske', 'kunstnere', 'som', 'the', 'ruby', 'suns', 'of', 'montreal', 'dean', 'amp', 'britta', 'og', 'apparat']"
Mindmare,"['mindmare', 'er', 'et', 'dansk', 'melodisk', 'dødsmetalband', 'dannet', 'i', 'deres', 'musik', 'læner', 'sig', 'op', 'ad', 'den', 'svenske', 'melodød', 'der', 'har', 'oprindelse', 'i', 'bands', 'som', 'at', 'the', 'gates', 'carcass', 'og', 'entombed', 'og', 'senere', 'hen', 'soilwork', 'in', 'flames', 'og', 'arch', 'enemy', 'mindmare', 'er', 'pt', 'hjemhørende', 'i', 'odense', 'og', 'er', 'tilknyttet', 'musikmiljøet', 'omkring', 'kansas', 'city', 'øvelokaleforening', 'og', 'spillested', 'bandet', 'skiftede', 'i', 'navn', 'fra', 'morfeus', 'skiftet', 'kom', 'af', 'flere', 'grunde', 'der', 'var', 'ikke', 'længere', 'nogen', 'af', 'de', 'oprindelige', 'morfeus', 'medlemmer', 'med', 'længere', 'og', 'stilen', 'i', 'musikken', 'havde', 'skiftet', 'drastisk', 'på', 'kort', 'tid', 'fra', 'langsom', 'doom', 'metal', 'til', 'den', 'noget', 'hurtigere', 'svenske', 'melodiske', 'dødsmetal', 'eller', 'scandinavian', 'wave', 'ingen', 'kompositioner', 'fra', 'morfeustiden', 'har', 'været', 'udgivet', 'af', 'mindmare', 'hvorfor', 'det', 'giver', 'mening', 'at', 'tænke', 'på', 'morfeus', 'og', 'mindmare', 'som', 'to', 'forskellige', 'bands']"
Mouritz/Hørslev Projektet,"['mouritzhørslev', 'projektet', 'er', 'et', 'dansk', 'musikprojekt', 'bestående', 'af', 'sangskriver', 'mads', 'mouritz', 'og', 'forfatteren', 'lone', 'hørslev', 'den', 'april', 'udgav', 'de', 'det', 'dansksprogede', 'album', 'så', 'er', 'det', 'sagt', 'der', 'er', 'indspillet', 'i', 'både', 'new', 'york', 'og', 'københavn', 'og', 'produceret', 'af', 'den', 'canadiske', 'producer', 'chris', 'brown', 'en', 'broken', 'social', 'scene', 'feist', 'på', 'førstesinglen', 'lille', 'krokodille', 'medvirker', 'bla', 'lise', 'blaase', 'fra', 'det', 'danske', 'band', 'the', 'broken', 'beats', 'så', 'er', 'det', 'sagt', 'kan', 'beskrives', 'som', 'en', 'samling', 'mørke', 'og', 'humoristiske', 'viser', 'med', 'særegne', 'tekster', 'i', 'originale', 'arrangementer', 'leveret', 'af', 'en', 'flok', 'legesyge', 'og', 'utilregnelige', 'musikere', 'mads', 'mouritz', 'debuterede', 'i', 'med', 'det', 'anmelderroste', 'engelsksprogede', 'album', 'this', 'chaos', 'called', 'love', 'for', 'den', 'var', 'han', 'i', 'indstillet', 'til', 'en', 'steppeulv', 'i', 'katagorien', 'årets', 'håb', 'lone', 'hørslev', 'debuterede', 'som', 'forfatter', 'i', 'med', 'digtsamlingen', 'tak', 'hun', 'har', 'siden', 'udgivet', 'bla', 'romanen', 'fjerne', 'galakser', 'er', 'kedelige', 'lone', 'har', 'bla', 'modtaget', 'michael', 'strungeprisen', 'og', 'carlsbergs', 'idlegat', 'årets', 'fund']"
Mr. Wilms,"['mr', 'wilms', 'tidligere', 'kendt', 'som', 'jimmy', 'løndorf', 'amp', 'springerne', 'er', 'et', 'dansk', 'indiefolk', 'rock', 'band', 'fra', 'københavn']"
Murder,"['murder', 'er', 'en', 'popduo', 'fra', 'danmark', 'bestående', 'af', 'sangeren', 'jacob', 'bellens', 'også', 'kendt', 'fra', 'bandet', 'i', 'got', 'you', 'on', 'tape', 'og', 'sanger', 'og', 'guitarist', 'anders', 'mathiasen', 'duoen', 'fik', 'sit', 'gennembrud', 'med', 'albummet', 'stockholm', 'syndrome', 'i', 'der', 'fik', 'positiv', 'kritik', 'fra', 'anmelderne', 'og', 'vakte', 'opmærksomhed', 'også', 'ud', 'over', 'de', 'danske', 'grænser', 'da', 'albummet', 'i', 'blev', 'udsendt', 'i', 'europa', 'i', 'udsendte', 'duoen', 'det', 'ligeledes', 'kritikerroste', 'album', 'gospel', 'of', 'man', 'orkesteret', 'har', 'bla', 'optrådt', 'på', 'roskilde', 'festival', 'og', 'i', 'udlandet', 'murder', 'optrådte', 'tillige', 'på', 'spot', 'festival', 'hvor', 'rolling', 'stone', 'magazines', 'journalist', 'david', 'fricke', 'der', 'anses', 'for', 'ham', 'der', 'opdagede', 'the', 'raveonettes', 'fremhævede', 'murders', 'optræden', 'på', 'festivalen']"
Naïve,"['nave', 'er', 'et', 'dansk', 'britisk', 'inspireret', 'guitarpopband', 'der', 'blev', 'dannet', 'i', 'af', 'sanger', 'og', 'sangskriver', 'claus', 'berthelsen', 'i', 'perioden', 'fra', 'til', 'udgav', 'de', 'tre', 'album', 'fish', 'irmgardz', 'careless', 'indeholdt', 'bla', 'radiohittet', 'marble', 'afternoon', 'garden', 'records', 'og', 'absolution', 'music', 'record', 'music', 'denmark', 'for', 'så', 'at', 'holde', 'en', 'lang', 'pause', 'indtil', 'albummet', 'endurance', 'everydaymusic', 'markerede', 'gruppens', 'comeback', 'de', 'to', 'hovedkræfter', 'i', 'bandets', 'første', 'periode', 'var', 'claus', 'berthelsen', 'og', 'hilmer', 'hassig', 'sidstnævnte', 'som', 'guitarist', 'og', 'producer', 'herudover', 'medvirkede', 'bla', 'flemming', 'muus', 'bas', 'martin', 'brygmann', 'trommer', 'og', 'gorm', 'ravnjonsen', 'trommer', 'også', 'i', 'gangway', 'på', 'bandets', 'udgivelser', 'på', 'endurance', 'som', 'er', 'produceret', 'af', 'henrik', 'balling', 'gangway', 'og', 'povl', 'kristian', 'er', 'besætningen', 'udover', 'claus', 'berthelsen', 'mette', 'soele', 'zachau', 'mathiesen', 'trommer', 'miss', 'b', 'haven', 'flemming', 'muus', 'bas', 'peter', 'michael', 'keyboard', 'og', 'povl', 'kristian', 'keyboard', 'guitar', 'vokaler', 'herudover', 'medvirker', 'guitaristen', 'peter', 'peter', 'bleeder', 'cellisten', 'josefine', 'opsahl', 'we', 'like', 'we', 'trompetisten', 'bo', 'rande', 'slagtøjsspilleren', 'claus', 'suhr', 'og', 'sangerinden', 'hanne', 'winterberg', 'moral']"
Naked Fish,"['denne', 'artikel', 'bør', 'gennemlæses', 'af', 'en', 'person', 'med', 'fagkendskab', 'for', 'at', 'sikre', 'den', 'faglige', 'korrekthed', 'naked', 'fish', 'er', 'et', 'band', 'med', 'karl', 'erik', 'pedersen', 'som', 'forsanger', 'derudover', 'består', 'det', 'af', 'ulrik', 'bust', 'på', 'saxofon', 'jakob', 'ottesen', 'på', 'bas', 'og', 'michael', 'friis', 'på', 'trommer', 'og', 'percussion']"
